1 	58325533
2 	29808661
3 	1804839
4 	1923380
5 	781775
6 	25001418
7 	29472711
8 	861278813
9 	2813167
10 	0
11 	6775094
12 	616681911
13 	0
14 	0
15 	0
16 	0
17 	121588
18 	387181
19 	207728
20 	29060
21 	26109
22 	36462360
23 	30267053
24 	46183521
25 	144799944
26 	97011609
27 	74203066
28 	80981934
29 	108116639
30 	279131847
31 	8032405
32 	4847233
33 	393360
34 	2432638
35 	4237790
36 	4531008
37 	13774663
38 	973734
39 	11086146
40 	16343706
41 	9520499
42 	4419162
43 	1363118
44 	21339223
45 	14204620
46 	1661960
47 	1001972
48 	2881562
49 	1838039
50 	6715131
51 	3161249
52 	4560095
53 	10517927
54 	1811533
55 	786723
56 	12048907
57 	17658022
58 	11115910
59 	7090176
60 	1244835
61 	9158421
62 	6835115
63 	11711727
64 	17048923
65 	16757999
66 	11900171
67 	55503599
68 	49083668
69 	26012061
70 	7244553
71 	25103391
72 	38686618
73 	4546240
74 	10324498
75 	4045541
76 	9519944
77 	6912556
78 	22834592
79 	11126494
80 	17355470
81 	7154199
82 	9182437
83 	11707979
84 	10817091
85 	8601085
86 	6117945
87 	4047532
88 	18912763
89 	5322395
90 	15336674
